jacket saco
resin brea
resin resina
quarrel altercado
quarrel disputa
quarrel pelea
quarrel pleito
quarrel trifulca
delay atrasar
delay demorar
delay tardar
unfortunate desdichado
unfortunate salado
spoiled consentido
spoiled mimado
aperitif aperitivo
broadcast transmitir
chalet chalet
coffin ataúd
coffin caja
cook cocer
cook hervir
crane grúa
interim intermedio
interview entrevistar
jogging jogging
jogging trotar
landlady empleada
landlady muchacha
obstinate necio
peanut manía
right! ¡Exacto!
scratch aruñazo
steal huevear
steal robar
sweetener endulzante
thaw descongelar
thief ladrón
bother chingar
bother fastidiar
die fallecer
die morirse
dismiss despedirle
dismiss echarlo
exaggerate exagerar
oppose contradercirle
soft-soap chaquetearle
fight pelear
junk cachivaches
junk chunches
drizzle chipichipi
drizzle llovizna
pseudo-rifined muco
pseudo-rifined shumo
sad achicopalado
sad acongojado
sad apesadumbrado
sad triste
sleep cabecear
sleep dormir
sleep dormitar
sleep pestañear
vulture zope
vulture zopilote
football fútbol
forward delantero
fullback defensa
goalkeeper arquero
goalkeeper guardameta
goalkeeper portero
cheeks cachetes
cheeks mejillas
