E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;anorak;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;campera;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;casaca;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;cazadora;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;chamarra;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;chaqueta;-;-;+;+;+;-;-;-;-;+;+;-;+;+;-;-;-;+;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;chompa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;chumpa;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;chupa;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;jacket;-;-;+;+;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;jompa ;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;parca;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;rompevientos ;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;braga;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;enterizo;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;jardinera;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-
