E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;D039;Absorber el humo del cigarrillo. :: Ej. *** hasta calentar el cigarrillo y se mareó.;PUFF;jalar;-;-;-;-;+;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D039;Absorber el humo del cigarrillo. :: Ej. *** hasta calentar el cigarrillo y se mareó.;PUFF;pitar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+
R;D039;Absorber el humo del cigarrillo. :: Ej. *** hasta calentar el cigarrillo y se mareó.;PUFF;sorber ;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;D040;Hacer fuerza para atraer o acercar. :: Ej. A los inválidos los arrancan de las sillas de ruedas *** de las piernas.;PULL;halar;-;-;+;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-
R;D040;Hacer fuerza para atraer o acercar. :: Ej. A los inválidos los arrancan de las sillas de ruedas *** de las piernas.;PULL;jalar;-;-;-;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;-;-;-
R;D040;Hacer fuerza para atraer o acercar. :: Ej. A los inválidos los arrancan de las sillas de ruedas *** de las piernas.;PULL;tirar;+;+;+;-;+;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;castigar;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar chingazos ;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar trompadas;-;-;+;+;-;+;-;+;-;+;-;+;-;-;-;-;-;-;+;+;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar trompás;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un chirlo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un golpe;+;-;+;+;+;+;-;-;-;+;-;-;-;+;-;+;-;-;+;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un moquetazo;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un moquete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un puñetazo;+;-;+;-;+;+;-;-;-;+;-;-;-;-;+;-;+;+;+;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un puñete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dar un puño;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;dársela;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;fajar;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;golpear;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;meter;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;pegar;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;pegar una piña;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;ponerle;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;sonar;-;-;+;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D041;Dar un golpe. :: Ej. Javier ha *** otra vez a su hermano.;PUNCH;trompear;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;+;-;+
R;D042;Meterse a / en. :: Ej. Se metió __ la cocina sin decirme nada.;PUT IN;entrar a;+;-;+;+;+;+;+;+;-;+;-;-;+;+;+;-;+;+;+;+;+
R;D042;Meterse a / en. :: Ej. Se metió __ la cocina sin decirme nada.;PUT IN;meterse a;-;-;-;-;+;+;+;-;+;+;+;-;+;+;+;+;+;-;-;-;-
R;D042;Meterse a / en. :: Ej. Se metió __ la cocina sin decirme nada.;PUT IN;meterse en;+;+;+;+;+;+;+;-;+;+;+;+;-;+;-;+;-;+;+;+;+
R;D043;Colocar o ajustar en el cuerpo. :: Ej. Con el frío que hacía convenía *** toda la ropa posible.;PUT ON;colocarse;+;-;-;-;-;+;-;-;-;+;-;-;-;+;-;-;-;-;-;-;+
R;D043;Colocar o ajustar en el cuerpo. :: Ej. Con el frío que hacía convenía *** toda la ropa posible.;PUT ON;llevarse;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D043;Colocar o ajustar en el cuerpo. :: Ej. Con el frío que hacía convenía *** toda la ropa posible.;PUT ON;meterse;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D043;Colocar o ajustar en el cuerpo. :: Ej. Con el frío que hacía convenía *** toda la ropa posible.;PUT ON;ponerse;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
R;D044;Arreglar una cosa estropeada. :: Ej. Se *** toda clase de relojes.;REPAIR;arreglar;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
R;D044;Arreglar una cosa estropeada. :: Ej. Se *** toda clase de relojes.;REPAIR;reparar;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+
R;D045;Requerir, necesitar. :: Ej. Los inversionistas extranjeros *** ciertas garantías.;REQUIRE;precisar;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+
R;D045;Requerir, necesitar. :: Ej. Los inversionistas extranjeros *** ciertas garantías.;REQUIRE;requerir;+;+;+;-;+;+;+;+;+;+;-;+;-;+;-;+;-;-;+;-;+
R;D045;Requerir, necesitar. :: Ej. Los inversionistas extranjeros *** ciertas garantías.;REQUIRE;requerir de;-;-;+;-;-;+;-;-;-;+;-;-;+;+;+;+;-;-;-;-;+
R;D046;Regresar a un sitio en el que se ha estado. :: Ej. *** a su casa dentro de una hora.;RETURN;regresar;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;-;+;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;allanar;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;buscar;+;-;-;-;+;+;+;+;-;+;-;-;-;-;-;-;-;+;+;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;catear;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;dar una batida;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;dar una rebatida;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;escudriñar;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;esculcar;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;examinar;+;-;+;+;+;-;-;+;-;+;-;-;-;-;-;-;-;+;+;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;indagar;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;inspeccionar;+;-;+;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;+;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;investigar;+;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;no dejar títere sin cabeza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;poner de cabeza;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;rastrear;+;-;+;-;+;-;-;-;-;+;-;+;-;-;-;-;-;-;+;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;rebuscar;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;registrar;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;+;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;requisar;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;revisar;+;-;+;+;+;+;+;+;+;+;+;+;-;+;-;+;-;+;+;-;+
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;seguir con atención ciertas señales;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;+;+;-
R;D047;Mirar o examinar con cuidado para encontrar lo que pueda estar oculto. :: Ej. La policía *** las casas del barrio en busca de los secuestradores.;SEARCH;trasculcar;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D048;Tener la impresión. :: Ej. *** que mi padre llegará a casa a la hora de comer.;SEEM;nadie me quita de la cabeza que;-;+;+;-;-;+;-;+;+;+;-;+;+;+;+;+;-;+;+;+;+
R;D048;Tener la impresión. :: Ej. *** que mi padre llegará a casa a la hora de comer.;SEEM;se me hace (hacerse);-;-;-;-;-;+;+;+;+;+;+;-;+;-;+;-;-;-;+;-;+
R;D048;Tener la impresión. :: Ej. *** que mi padre llegará a casa a la hora de comer.;SEEM;se me pone (ponerse);+;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-
R;D048;Tener la impresión. :: Ej. *** que mi padre llegará a casa a la hora de comer.;SEEM;suponer;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;feriar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;liquidar;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;poner de oferta;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;-;+
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;poner en oferta;+;-;-;-;-;+;+;+;+;+;-;+;-;+;-;+;+;+;+;-;+
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;realizar;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;rebajar;+;-;+;+;+;+;+;+;-;+;-;-;-;+;-;-;-;-;+;-;+
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;rematar;-;-;+;-;+;+;+;-;+;+;+;-;-;+;-;+;+;-;+;-;+
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;saldar;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-
R;D049;Vender a un precio bajo las mercancías de un comercio. :: Ej. Al final de la temporada de verano, las tiendas *** las existencias que han sobrado.;SELL AT A BARGAIN PRICE;vender a precio regalado;+;-;+;-;+;+;-;-;-;+;-;+;-;+;-;+;-;+;+;+;+
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;agitar;+;-;+;-;+;+;-;+;-;+;-;-;-;-;-;-;-;-;+;-;+
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;empujar;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;estrujar;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;jamaquear;-;-;+;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;jamaquer;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;mover;-;+;+;-;+;-;+;-;-;+;-;-;-;+;-;+;-;+;+;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;remecer;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;sacudir;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;vapulear;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;zamarrear;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;zangolotear;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D050;Mover violentamente. :: Ej. Despertó *** con violencia por la mujer.;SHAKE;zarandear;+;-;+;-;+;+;+;+;-;+;-;+;-;-;-;-;-;-;+;-;+
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;abalear;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;balacear;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;balear;-;-;-;-;+;+;+;+;-;+;-;-;-;-;-;-;-;+;+;-;+
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;dar tiros;+;-;+;-;-;+;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;disparar;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;pegar tiros;+;-;-;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;+;-;-
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;tirar tiros;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;tiros repetidos;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-
R;D051;Disparar repetidamente una arma de fuego. :: Ej. Los asaltantes huyeron *** desesperadamente.;SHOOT;tirotear;+;-;+;+;+;-;-;+;-;+;-;+;-;-;-;-;-;-;+;-;+
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);cuerear;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);descuerar;-;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);desollar;+;-;+;+;-;+;+;+;-;+;-;-;-;+;-;+;-;-;-;-;+
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);despellejar;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;-
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);pelar;-;-;+;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);quitar el cuero;-;-;+;+;+;+;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);quitar la piel;+;+;+;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D052;Quitar la piel a un animal. :: Ej. *** el cabrito para comérselo.;SKIN (V);sacar la piel;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-
R;D053;Pagar los gastos de un programa de televisión para hacerse publicidad. :: Ej. Una empresa de productos alimenticios ***_ esa serie de televisión.;SPONSOR;auspiciar;-;-;+;-;+;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+
R;D053;Pagar los gastos de un programa de televisión para hacerse publicidad. :: Ej. Una empresa de productos alimenticios ***_ esa serie de televisión.;SPONSOR;esponsorear;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;+;+
R;D053;Pagar los gastos de un programa de televisión para hacerse publicidad. :: Ej. Una empresa de productos alimenticios ***_ esa serie de televisión.;SPONSOR;esponsorizar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D053;Pagar los gastos de un programa de televisión para hacerse publicidad. :: Ej. Una empresa de productos alimenticios ***_ esa serie de televisión.;SPONSOR;patrocinar;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+
R;D054;Ponerse en pie. :: Ej. Al verla *** de la silla.;STAND UP;levantarse;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
R;D054;Ponerse en pie. :: Ej. Al verla *** de la silla.;STAND UP;pararse;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;acortar;+;+;+;-;+;+;+;-;-;+;-;-;-;-;-;-;-;-;+;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;acortar camino;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;ahorrar tiempo;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;atajar;+;-;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;atrechar;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;atrochar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;coger un atajo;+;+;+;-;+;+;-;-;+;+;-;+;-;-;-;-;+;-;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;cortar;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;cortar camino;-;-;+;-;+;+;-;-;-;+;-;-;-;+;-;-;+;-;-;-;+
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;hacer la corta;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;llegar más rápido;+;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;recortar camino;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;D056;Ir a un lugar por un camino más corto. :: Ej. Me metí por las cañas para ***.;TAKE A SHORT CUT;tomar un atajo;+;-;+;-;-;+;+;+;-;+;-;-;-;+;-;-;-;-;-;-;+
R;D057;Quitarse prendas de vestir. :: Ej. El marido ayudó a su esposa a *** el abrigo.;TAKE OFF;desvestirse;-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;+;-;+;+;+
R;D057;Quitarse prendas de vestir. :: Ej. El marido ayudó a su esposa a *** el abrigo.;TAKE OFF;quitarse;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;-;+;-;+
R;D057;Quitarse prendas de vestir. :: Ej. El marido ayudó a su esposa a *** el abrigo.;TAKE OFF;sacarse;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;+;+;-;+;+;+
R;D058;Lanzar con la mano. :: Ej. Está prohibido *** basura al río.;THROW;arrojar;+;-;+;-;-;+;-;-;-;+;-;-;-;+;-;+;-;-;-;+;+
R;D058;Lanzar con la mano. :: Ej. Está prohibido *** basura al río.;THROW;botar;-;-;+;-;-;-;+;-;+;+;+;-;+;+;+;+;-;-;-;-;-
R;D058;Lanzar con la mano. :: Ej. Está prohibido *** basura al río.;THROW;echar;+;+;+;-;-;+;-;-;-;+;-;-;-;+;-;+;-;-;-;-;+
R;D058;Lanzar con la mano. :: Ej. Está prohibido *** basura al río.;THROW;lanzar;+;-;+;-;+;+;+;+;-;+;-;-;-;+;+;-;+;-;-;-;+
R;D058;Lanzar con la mano. :: Ej. Está prohibido *** basura al río.;THROW;tirar;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+
R;D059;Unir o sujetar con cuerdas. :: Ej. *** mi perro a un árbol para que no se escapara.;TIE;amarrar;-;-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;-;-;+
R;D059;Unir o sujetar con cuerdas. :: Ej. *** mi perro a un árbol para que no se escapara.;TIE;atar;+;+;+;-;-;+;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;bolear;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;confundir;+;-;+;+;+;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;+
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;hacer tontos;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;joder;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;mentir;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;+;-;+
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;meter la mula;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+
R;D060;Hacer creer lo que no es. :: Ej. Así que crees que haciéndote el loco nos vas a ***.;TRICK;timar;+;-;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-
